playerID,yearID,teamID,lgID,inseason,G,W,L,rank,plyrMgr
kimmbr01,2002,CHN,NL,3,78,33,45,5,N
boonebo01,2002,CIN,NL,1,162,78,84,3,N
manuech01,2002,CLE,AL,1,86,39,47,3,N
skinnjo01,2002,CLE,AL,2,76,35,41,3,N
bellbu01,2002,COL,NL,1,22,6,16,4,N
hurdlcl01,2002,COL,NL,2,140,67,73,4,N
garneph01,2002,DET,AL,1,6,0,6,5,N
pujollu01,2002,DET,AL,2,155,55,100,5,N
torboje01,2002,FLO,NL,1,162,79,83,4,N
williji03,2002,HOU,NL,1,161,83,78,2,N
tamarjo01,2002,HOU,NL,2,1,1,0,2,N
muserto01,2002,KCA,AL,1,23,8,15,4,N
mizerjo01,2002,KCA,AL,2,13,5,8,4,N
penato01,2002,KCA,AL,3,126,49,77,4,N
tracyji01,2002,LAN,NL,1,162,92,70,3,N
lopesda01,2002,MIL,NL,1,15,3,12,6,N
roystje01,2002,MIL,NL,2,147,53,94,6,N
gardero01,2002,MIN,AL,1,156,91,65,1,N
ullgesc01,2002,MIN,AL,2,5,3,2,1,N
robinfr02,2002,MON,NL,1,162,83,79,2,N
torrejo01,2002,NYA,AL,1,161,103,58,1,N
valenbo02,2002,NYN,NL,1,161,75,86,5,N
howear01,2002,OAK,AL,1,162,103,59,1,N
bowala01,2002,PHI,NL,1,161,80,81,3,N
mcclell01,2002,PIT,NL,1,161,72,89,4,N
bochybr01,2002,SDN,NL,1,162,66,96,5,N
pinielo01,2002,SEA,AL,1,162,93,69,3,N
bakerdu01,2002,SFN,NL,1,162,95,66,2,N
larusto01,2002,SLN,NL,1,162,97,65,1,N
mcraeha01,2002,TBA,AL,1,161,55,106,5,N
narroje01,2002,TEX,AL,1,162,72,90,4,N
martibu01,2002,TOR,AL,1,53,20,33,3,N
toscaca99,2002,TOR,AL,2,109,58,51,3,N
sciosmi01,2003,ANA,AL,1,162,77,85,3,N
brenlbo01,2003,ARI,NL,1,162,84,78,3,N
coxbo01,2003,ATL,NL,1,160,99,61,1,N
corrapa01,2003,ATL,NL,2,2,2,0,1,N
hargrmi01,2003,BAL,AL,1,151,67,83,4,N
perlosa01,2003,BAL,AL,2,12,4,8,4,N
littlgr99,2003,BOS,AL,1,162,95,67,2,N
manueje01,2003,CHA,AL,1,162,86,76,2,N
bakerdu01,2003,CHN,NL,1,162,88,74,1,N
boonebo01,2003,CIN,NL,1,104,46,58,5,N
knighra01,2003,CIN,NL,2,1,1,0,5,N
mileyda99,2003,CIN,NL,3,57,22,35,5,N
wedgeer01,2003,CLE,AL,1,162,68,94,4,N
hurdlcl01,2003,COL,NL,1,162,74,88,4,N
trammal01,2003,DET,AL,1,162,43,119,5,N
torboje01,2003,FLO,NL,1,38,16,22,2,N
mckeoja99,2003,FLO,NL,2,124,75,49,2,N
williji03,2003,HOU,NL,1,162,87,75,2,N
penato01,2003,KCA,AL,1,162,83,79,3,N
tracyji01,2003,LAN,NL,1,162,85,77,2,N
yostne01,2003,MIL,NL,1,162,68,94,6,N
gardero01,2003,MIN,AL,1,162,90,72,1,N
robinfr02,2003,MON,NL,1,162,83,79,4,N
torrejo01,2003,NYA,AL,1,163,101,61,1,N
howear01,2003,NYN,NL,1,161,66,95,5,N
machake01,2003,OAK,AL,1,162,96,66,1,N
bowala01,2003,PHI,NL,1,162,86,76,3,N
mcclell01,2003,PIT,NL,1,162,75,87,4,N
bochybr01,2003,SDN,NL,1,162,64,98,5,N
melvibo01,2003,SEA,AL,1,162,93,69,2,N
aloufe01,2003,SFN,NL,1,161,100,61,1,N
larusto01,2003,SLN,NL,1,162,85,77,3,N
pinielo01,2003,TBA,AL,1,162,63,99,5,N
showabu99,2003,TEX,AL,1,162,71,91,4,N
toscaca99,2003,TOR,AL,1,159,83,76,3,N
gibbojo02,2003,TOR,AL,2,3,3,0,3,N
sciosmi01,2004,ANA,AL,1,161,91,70,1,N
maddojo99,2004,ANA,AL,2,1,1,0,1,N
brenlbo01,2004,ARI,NL,1,79,29,50,5,N
pedrial01,2004,ARI,NL,2,83,22,61,5,N
coxbo01,2004,ATL,NL,1,162,96,66,1,N
mazzile01,2004,BAL,AL,1,162,78,84,3,N
francte01,2004,BOS,AL,1,162,98,64,2,N
guilloz01,2004,CHA,AL,1,158,82,76,2,N
baineha01,2004,CHA,AL,2,4,1,3,2,N
bakerdu01,2004,CHN,NL,1,162,89,73,3,N
mileyda99,2004,CIN,NL,1,162,76,86,4,N
wedgeer01,2004,CLE,AL,1,162,80,82,3,N
hurdlcl01,2004,COL,NL,1,162,68,94,4,N
trammal01,2004,DET,AL,1,162,72,90,4,N
mckeoja99,2004,FLO,NL,1,162,83,79,3,N
williji03,2004,HOU,NL,1,88,44,44,2,N
garneph01,2004,HOU,NL,2,74,48,26,2,N
penato01,2004,KCA,AL,1,162,58,104,5,N
tracyji01,2004,LAN,NL,1,162,93,69,1,N
yostne01,2004,MIL,NL,1,161,67,94,6,N
gardero01,2004,MIN,AL,1,162,92,70,1,N
robinfr02,2004,MON,NL,1,162,67,95,5,N
torrejo01,2004,NYA,AL,1,161,100,61,1,N
randowi01,2004,NYA,AL,2,1,1,0,1,N
howear01,2004,NYN,NL,1,162,71,91,4,N
machake01,2004,OAK,AL,1,162,91,71,2,N
bowala01,2004,PHI,NL,1,160,85,75,2,N
varshga01,2004,PHI,NL,2,2,1,1,2,N
mcclell01,2004,PIT,NL,1,161,72,89,5,N
bochybr01,2004,SDN,NL,1,162,87,75,3,N
melvibo01,2004,SEA,AL,1,162,63,99,4,N
aloufe01,2004,SFN,NL,1,162,91,71,2,N
larusto01,2004,SLN,NL,1,162,105,57,1,N
pinielo01,2004,TBA,AL,1,161,70,91,4,N
showabu99,2004,TEX,AL,1,162,89,73,3,N
toscaca99,2004,TOR,AL,1,111,47,64,5,N
gibbojo02,2004,TOR,AL,2,50,20,30,5,N
melvibo01,2005,ARI,NL,1,162,77,85,2,N
coxbo01,2005,ATL,NL,1,162,90,72,1,N
mazzile01,2005,BAL,AL,1,107,51,56,4,N
perlosa01,2005,BAL,AL,2,55,23,32,4,N
francte01,2005,BOS,AL,1,154,90,64,2,N
millsbr01,2005,BOS,AL,2,8,5,3,2,N
guilloz01,2005,CHA,AL,1,162,99,63,1,N
bakerdu01,2005,CHN,NL,1,162,79,83,4,N
mileyda99,2005,CIN,NL,1,70,27,43,5,N
narroje01,2005,CIN,NL,2,93,46,46,5,N
wedgeer01,2005,CLE,AL,1,160,91,69,2,N
bellbu01,2005,CLE,AL,2,1,1,0,2,N
thompro01,2005,CLE,AL,3,1,1,0,2,N
hurdlcl01,2005,COL,NL,1,162,67,95,5,N
trammal01,2005,DET,AL,1,162,71,91,4,N
mckeoja99,2005,FLO,NL,1,162,83,79,4,N
garneph01,2005,HOU,NL,1,163,89,73,2,N
penato01,2005,KCA,AL,1,33,8,25,5,N
schaebo99,2005,KCA,AL,2,20,6,14,5,N
bellbu01,2005,KCA,AL,3,109,42,67,5,N
sciosmi01,2005,LAA,AL,1,162,95,67,1,N
tracyji01,2005,LAN,NL,1,162,71,91,4,N
yostne01,2005,MIL,NL,1,162,81,81,3,N
gardero01,2005,MIN,AL,1,162,83,79,3,N
torrejo01,2005,NYA,AL,1,161,95,66,1,N
girarjo01,2005,NYA,AL,2,1,0,1,1,N
randowi01,2005,NYN,NL,1,162,83,79,3,N
machake01,2005,OAK,AL,1,162,88,74,2,N
manuech01,2005,PHI,NL,1,162,88,74,2,N
mcclell01,2005,PIT,NL,1,135,55,80,6,N
mackape01,2005,PIT,NL,2,27,12,15,6,N
bochybr01,2005,SDN,NL,1,162,82,80,1,N
hargrmi01,2005,SEA,AL,1,162,69,93,4,N
aloufe01,2005,SFN,NL,1,162,75,87,3,N
larusto01,2005,SLN,NL,1,162,100,62,1,N
pinielo01,2005,TBA,AL,1,162,67,95,5,N
showabu99,2005,TEX,AL,1,162,79,83,3,N
gibbojo02,2005,TOR,AL,1,162,80,82,3,N
robinfr02,2005,WAS,NL,1,162,81,81,5,N
melvibo01,2006,ARI,NL,1,162,76,86,4,N
coxbo01,2006,ATL,NL,1,162,79,83,3,N
perlosa01,2006,BAL,AL,1,162,70,92,4,N
francte01,2006,BOS,AL,1,162,86,76,3,N
guilloz01,2006,CHA,AL,1,161,89,72,3,N
corajo01,2006,CHA,AL,2,1,1,0,3,N
bakerdu01,2006,CHN,NL,1,162,66,96,6,N
narroje01,2006,CIN,NL,1,162,80,82,3,N
wedgeer01,2006,CLE,AL,1,162,78,84,4,N
hurdlcl01,2006,COL,NL,1,162,76,86,5,N
leylaji99,2006,DET,AL,1,162,95,67,2,N
girarjo01,2006,FLO,NL,1,161,77,84,4,N
tuckga99,2006,FLO,NL,2,1,1,0,4,N
garneph01,2006,HOU,NL,1,162,82,80,2,N
bellbu01,2006,KCA,AL,1,152,58,94,5,N
doranbi02,2006,KCA,AL,2,10,4,6,5,N
sciosmi01,2006,LAA,AL,1,162,89,73,2,N
littlgr99,2006,LAN,NL,1,162,88,74,2,N
yostne01,2006,MIL,NL,1,162,75,87,4,N
gardero01,2006,MIN,AL,1,158,94,64,1,N
ullgesc01,2006,MIN,AL,2,4,2,2,1,N
torrejo01,2006,NYA,AL,1,161,96,65,1,N
mazzile01,2006,NYA,AL,2,1,1,0,1,N
randowi01,2006,NYN,NL,1,162,97,65,1,N
machake01,2006,OAK,AL,1,162,93,69,1,N
manuech01,2006,PHI,NL,1,161,85,76,2,N
varshga01,2006,PHI,NL,2,1,0,1,2,N
tracyji01,2006,PIT,NL,1,162,67,95,5,N
bochybr01,2006,SDN,NL,1,162,88,74,1,N
hargrmi01,2006,SEA,AL,1,162,78,84,4,N
aloufe01,2006,SFN,NL,1,160,76,84,3,N
wotusro01,2006,SFN,NL,2,1,0,1,3,N
larusto01,2006,SLN,NL,1,161,83,78,1,N
maddojo99,2006,TBA,AL,1,162,61,101,5,N
showabu99,2006,TEX,AL,1,156,77,79,3,N
wakamdo01,2006,TEX,AL,2,6,3,3,3,N
gibbojo02,2006,TOR,AL,1,162,87,75,2,N
robinfr02,2006,WAS,NL,1,162,71,91,5,N
melvibo01,2007,ARI,NL,1,162,90,72,1,N
coxbo01,2007,ATL,NL,1,162,84,78,3,N
perlosa01,2007,BAL,AL,1,72,31,41,4,N
trembda99,2007,BAL,AL,2,90,38,52,4,N
francte01,2007,BOS,AL,1,162,96,66,1,N
guilloz01,2007,CHA,AL,1,162,72,90,4,N
pinielo01,2007,CHN,NL,1,158,82,76,1,N
trammal01,2007,CHN,NL,2,4,3,1,1,N
narroje01,2007,CIN,NL,1,82,31,51,5,N
mackape01,2007,CIN,NL,2,80,41,39,5,N
wedgeer01,2007,CLE,AL,1,162,96,66,1,N
hurdlcl01,2007,COL,NL,1,163,90,73,2,N
leylaji99,2007,DET,AL,1,162,88,74,2,N
gonzafr99,2007,FLO,NL,1,162,71,91,5,N
garneph01,2007,HOU,NL,1,131,58,73,4,N
coopece01,2007,HOU,NL,2,31,15,16,4,N
bellbu01,2007,KCA,AL,1,162,69,93,5,N
sciosmi01,2007,LAA,AL,1,162,94,68,1,N
littlgr99,2007,LAN,NL,1,162,82,80,4,N
yostne01,2007,MIL,NL,1,162,83,79,2,N
gardero01,2007,MIN,AL,1,161,79,82,3,N
ullgesc01,2007,MIN,AL,2,1,0,1,3,N
torrejo01,2007,NYA,AL,1,160,93,67,2,N
mattido01,2007,NYA,AL,2,2,1,1,2,N
randowi01,2007,NYN,NL,1,162,88,74,2,N
gerenbo01,2007,OAK,AL,1,162,76,86,3,N
manuech01,2007,PHI,NL,1,162,89,73,1,N
tracyji01,2007,PIT,NL,1,162,68,94,6,N
blackbu02,2007,SDN,NL,1,163,89,74,3,N
hargrmi01,2007,SEA,AL,1,77,44,33,2,N
mclarjo99,2007,SEA,AL,2,85,44,41,2,N
bochybr01,2007,SFN,NL,1,162,71,91,5,N
larusto01,2007,SLN,NL,1,162,78,84,3,N
maddojo99,2007,TBA,AL,1,162,66,96,5,N
washiro01,2007,TEX,AL,1,162,75,87,4,N
gibbojo02,2007,TOR,AL,1,162,83,79,3,N
actama99,2007,WAS,NL,1,162,73,89,4,N
melvibo01,2008,ARI,NL,1,162,82,80,2,N
coxbo01,2008,ATL,NL,1,161,72,89,4,N
cadahch99,2008,ATL,NL,2,1,0,1,4,N
trembda99,2008,BAL,AL,1,161,68,93,5,N
francte01,2008,BOS,AL,1,160,95,65,2,N
millsbr01,2008,BOS,AL,2,2,0,2,2,N
guilloz01,2008,CHA,AL,1,161,87,74,1,N
corajo01,2008,CHA,AL,2,2,2,0,1,N
pinielo01,2008,CHN,NL,1,161,97,64,1,N
bakerdu01,2008,CIN,NL,1,160,72,88,5,N
speiech01,2008,CIN,NL,2,2,2,0,5,N
wedgeer01,2008,CLE,AL,1,162,81,81,3,N
hurdlcl01,2008,COL,NL,1,162,74,88,3,N
leylaji99,2008,DET,AL,1,159,74,85,5,N
mcclell01,2008,DET,AL,2,3,0,3,5,N
gonzafr99,2008,FLO,NL,1,161,84,77,3,N
coopece01,2008,HOU,NL,1,161,86,75,3,N
hillmtr99,2008,KCA,AL,1,162,75,87,4,N
sciosmi01,2008,LAA,AL,1,162,100,62,1,N
torrejo01,2008,LAN,NL,1,162,84,78,1,N
yostne01,2008,MIL,NL,1,150,83,67,2,N
sveumda01,2008,MIL,NL,2,12,7,5,2,N
gardero01,2008,MIN,AL,1,156,83,73,2,N
ullgesc01,2008,MIN,AL,2,7,5,2,2,N
girarjo01,2008,NYA,AL,1,159,88,71,3,N
thomsro99,2008,NYA,AL,2,3,1,2,3,N
randowi01,2008,NYN,NL,1,69,34,35,2,N
manueje01,2008,NYN,NL,2,93,55,38,2,N
gerenbo01,2008,OAK,AL,1,161,75,86,3,N
manuech01,2008,PHI,NL,1,162,92,70,1,N
russejo02,2008,PIT,NL,1,162,67,95,6,N
blackbu02,2008,SDN,NL,1,162,63,99,5,N
mclarjo99,2008,SEA,AL,1,72,25,47,4,N
rigglji99,2008,SEA,AL,2,90,36,54,4,N
bochybr01,2008,SFN,NL,1,162,72,90,4,N
larusto01,2008,SLN,NL,1,162,86,76,4,N
maddojo99,2008,TBA,AL,1,162,97,65,1,N
washiro01,2008,TEX,AL,1,162,79,83,2,N
gibbojo02,2008,TOR,AL,1,74,35,39,4,N
gastoci01,2008,TOR,AL,2,88,51,37,4,N
actama99,2008,WAS,NL,1,161,59,102,5,N
melvibo01,2009,ARI,NL,1,29,12,17,5,N
hinchaj01,2009,ARI,NL,2,133,58,75,5,N
coxbo01,2009,ATL,NL,1,162,86,76,3,N
trembda99,2009,BAL,AL,1,160,63,97,5,N
jaussda99,2009,BAL,AL,2,2,1,1,5,N
francte01,2009,BOS,AL,1,162,95,67,2,N
guilloz01,2009,CHA,AL,1,162,79,83,3,N
pinielo01,2009,CHN,NL,1,161,83,78,2,N
bakerdu01,2009,CIN,NL,1,162,78,84,4,N
wedgeer01,2009,CLE,AL,1,162,65,97,5,N
hurdlcl01,2009,COL,NL,1,46,18,28,2,N
tracyji01,2009,COL,NL,2,116,74,42,2,N
leylaji99,2009,DET,AL,1,163,86,77,2,N
gonzafr99,2009,FLO,NL,1,162,87,75,2,N
coopece01,2009,HOU,NL,1,149,70,79,5,N
clarkda05,2009,HOU,NL,2,13,4,9,5,N
hillmtr99,2009,KCA,AL,1,159,64,95,4,N
gibbojo02,2009,KCA,AL,2,3,1,2,4,N
sciosmi01,2009,LAA,AL,1,162,97,65,1,N
torrejo01,2009,LAN,NL,1,162,95,67,1,N
machake01,2009,MIL,NL,1,162,80,82,3,N
gardero01,2009,MIN,AL,1,163,87,76,1,N
girarjo01,2009,NYA,AL,1,162,103,59,1,N
manueje01,2009,NYN,NL,1,162,70,92,4,N
gerenbo01,2009,OAK,AL,1,162,75,87,4,N
manuech01,2009,PHI,NL,1,162,93,69,1,N
russejo02,2009,PIT,NL,1,161,62,99,6,N
blackbu02,2009,SDN,NL,1,162,75,87,4,N
wakamdo01,2009,SEA,AL,1,162,85,77,3,N
bochybr01,2009,SFN,NL,1,162,88,74,3,N
larusto01,2009,SLN,NL,1,162,91,71,1,N
maddojo99,2009,TBA,AL,1,162,84,78,3,N
washiro01,2009,TEX,AL,1,162,87,75,2,N
gastoci01,2009,TOR,AL,1,160,74,86,4,N
buttebr99,2009,TOR,AL,2,2,1,1,4,N
actama99,2009,WAS,NL,1,87,26,61,5,N
rigglji99,2009,WAS,NL,2,75,33,42,5,N
hinchaj01,2010,ARI,NL,1,79,31,48,5,N
gibsoki01,2010,ARI,NL,2,83,34,49,5,N
coxbo01,2010,ATL,NL,1,161,90,71,2,N
cadahch99,2010,ATL,NL,2,1,1,0,2,N
trembda99,2010,BAL,AL,1,54,15,39,5,N
samueju01,2010,BAL,AL,2,51,17,34,5,N
showabu99,2010,BAL,AL,3,57,34,23,5,N
francte01,2010,BOS,AL,1,162,89,73,3,N
guilloz01,2010,CHA,AL,1,162,88,74,2,N
pinielo01,2010,CHN,NL,1,121,50,71,5,N
trammal01,2010,CHN,NL,2,4,1,3,5,N
quademi99,2010,CHN,NL,3,37,24,13,5,N
bakerdu01,2010,CIN,NL,1,160,89,71,1,N
speiech01,2010,CIN,NL,2,2,2,0,1,N
actama99,2010,CLE,AL,1,162,69,93,4,N
tracyji01,2010,COL,NL,1,162,83,79,3,N
leylaji99,2010,DET,AL,1,161,81,80,3,N
mcclell01,2010,DET,AL,2,1,0,1,3,N
gonzafr99,2010,FLO,NL,1,70,34,36,3,N
rodried02,2010,FLO,NL,2,92,46,46,3,N
millsbr01,2010,HOU,NL,1,162,76,86,4,N
hillmtr99,2010,KCA,AL,1,35,12,23,5,N
yostne01,2010,KCA,AL,2,127,55,72,5,N
sciosmi01,2010,LAA,AL,1,162,80,82,3,N
torrejo01,2010,LAN,NL,1,161,79,82,4,N
mattido01,2010,LAN,NL,2,1,1,0,4,N
machake01,2010,MIL,NL,1,162,77,85,3,N
gardero01,2010,MIN,AL,1,162,94,68,1,N
girarjo01,2010,NYA,AL,1,162,95,67,2,N
manueje01,2010,NYN,NL,1,162,79,83,4,N
gerenbo01,2010,OAK,AL,1,162,81,81,2,N
manuech01,2010,PHI,NL,1,161,97,64,1,N
mackape01,2010,PHI,NL,2,1,0,1,1,N
russejo02,2010,PIT,NL,1,162,57,105,6,N
blackbu02,2010,SDN,NL,1,161,89,72,2,N
simmote01,2010,SDN,NL,2,1,1,0,2,N
wakamdo01,2010,SEA,AL,1,112,42,70,4,N
brownda99,2010,SEA,AL,2,50,19,31,4,N
bochybr01,2010,SFN,NL,1,162,92,70,1,N
larusto01,2010,SLN,NL,1,160,85,75,2,N
pettijo01,2010,SLN,NL,2,2,1,1,2,N
maddojo99,2010,TBA,AL,1,162,96,66,1,N
washiro01,2010,TEX,AL,1,162,90,72,1,N
gastoci01,2010,TOR,AL,1,162,85,77,4,N
rigglji99,2010,WAS,NL,1,162,69,93,5,N
gibsoki01,2011,ARI,NL,1,162,94,68,1,N
gonzafr99,2011,ATL,NL,1,162,89,73,2,N
showabu99,2011,BAL,AL,1,161,69,92,5,N
russejo02,2011,BAL,AL,2,1,0,1,5,N
francte01,2011,BOS,AL,1,162,90,72,3,N
guilloz01,2011,CHA,AL,1,158,78,80,3,N
corajo01,2011,CHA,AL,2,2,0,2,3,N
coopedo01,2011,CHA,AL,3,2,1,1,3,N
quademi99,2011,CHN,NL,1,162,71,91,5,N
bakerdu01,2011,CIN,NL,1,162,79,83,3,N
actama99,2011,CLE,AL,1,162,80,82,2,N
tracyji01,2011,COL,NL,1,162,73,89,4,N
leylaji99,2011,DET,AL,1,162,95,67,1,N
rodried02,2011,FLO,NL,1,71,32,39,5,N
hydebr99,2011,FLO,NL,2,1,0,1,5,N
mckeoja99,2011,FLO,NL,3,90,40,50,5,N
millsbr01,2011,HOU,NL,1,162,56,106,6,N
yostne01,2011,KCA,AL,1,162,71,91,4,N
sciosmi01,2011,LAA,AL,1,162,86,76,2,N
mattido01,2011,LAN,NL,1,161,82,79,3,N
roeniro01,2011,MIL,NL,1,162,96,66,1,N
gardero01,2011,MIN,AL,1,162,63,99,5,N
girarjo01,2011,NYA,AL,1,162,97,65,1,N
collite99,2011,NYN,NL,1,162,77,85,4,N
gerenbo01,2011,OAK,AL,1,63,27,36,3,N
melvibo01,2011,OAK,AL,2,99,47,52,3,N
manuech01,2011,PHI,NL,1,162,102,60,1,N
hurdlcl01,2011,PIT,NL,1,162,72,90,4,N
blackbu02,2011,SDN,NL,1,162,71,91,5,N
wedgeer01,2011,SEA,AL,1,162,67,95,4,N
bochybr01,2011,SFN,NL,1,162,86,76,2,N
larusto01,2011,SLN,NL,1,156,88,68,2,N
pettijo01,2011,SLN,NL,2,6,2,4,2,N
maddojo99,2011,TBA,AL,1,162,91,71,2,N
washiro01,2011,TEX,AL,1,162,96,66,1,N
farrejo03,2011,TOR,AL,1,152,78,74,4,N
wakamdo01,2011,TOR,AL,2,10,3,7,4,N
rigglji99,2011,WAS,NL,1,75,38,37,3,N
mclarjo99,2011,WAS,NL,2,3,2,1,3,N
johnsda02,2011,WAS,NL,3,83,40,43,3,N
gibsoki01,2012,ARI,NL,1,162,81,81,3,N
gonzafr99,2012,ATL,NL,1,162,94,68,2,N
showabu99,2012,BAL,AL,1,162,93,69,2,N
valenbo02,2012,BOS,AL,1,162,69,93,5,N
venturo01,2012,CHA,AL,1,162,85,77,2,N
sveumda01,2012,CHN,NL,1,162,61,101,5,N
bakerdu01,2012,CIN,NL,1,151,90,61,1,N
speiech01,2012,CIN,NL,2,11,7,4,1,N
actama99,2012,CLE,AL,1,156,65,91,4,N
alomasa02,2012,CLE,AL,2,6,3,3,4,N
tracyji01,2012,COL,NL,1,162,64,98,5,N
leylaji99,2012,DET,AL,1,162,88,74,1,N
millsbr01,2012,HOU,NL,1,121,39,82,6,N
defrato99,2012,HOU,NL,2,41,16,25,6,N
yostne01,2012,KCA,AL,1,162,72,90,3,N
sciosmi01,2012,LAA,AL,1,162,89,73,3,N
mattido01,2012,LAN,NL,1,160,84,76,2,N
hillmtr99,2012,LAN,NL,2,2,2,0,2,N
guilloz01,2012,MIA,NL,1,162,69,93,5,N
roeniro01,2012,MIL,NL,1,162,83,79,3,N
gardero01,2012,MIN,AL,1,162,66,96,5,N
girarjo01,2012,NYA,AL,1,162,95,67,1,N
collite99,2012,NYN,NL,1,162,74,88,4,N
melvibo01,2012,OAK,AL,1,162,94,68,1,N
manuech01,2012,PHI,NL,1,162,81,81,3,N
hurdlcl01,2012,PIT,NL,1,162,79,83,4,N
blackbu02,2012,SDN,NL,1,162,76,86,4,N
wedgeer01,2012,SEA,AL,1,162,75,87,4,N
bochybr01,2012,SFN,NL,1,162,94,68,1,N
mathemi01,2012,SLN,NL,1,162,88,74,2,N
maddojo99,2012,TBA,AL,1,162,90,72,3,N
washiro01,2012,TEX,AL,1,162,93,69,2,N
farrejo03,2012,TOR,AL,1,162,73,89,4,N
johnsda02,2012,WAS,NL,1,162,98,64,1,N
